nbatch	trainL	validL	elapsed	throughput
716	7.089	16.569	0.606	20.292
717	7.047	16.549	0.601	20.447
718	7.157	16.651	0.600	20.487
719	7.227	16.613	0.629	19.538
720	7.210	16.416	0.616	19.950
721	7.087	16.378	0.604	20.358
722	6.962	16.328	0.597	20.589
723	6.924	16.342	0.648	18.965
724	6.920	16.261	0.631	19.468
725	6.888	16.301	0.607	20.246
726	6.792	16.402	0.610	20.136
727	6.826	16.189	0.604	20.341
728	6.792	16.361	0.601	20.457
729	6.784	16.235	0.598	20.532
730	6.918	16.227	0.648	18.949
731	6.973	16.242	0.632	19.452
732	6.989	16.225	0.613	20.051
733	6.952	16.287	0.601	20.452
734	6.873	16.265	0.605	20.322
735	6.789	16.267	0.607	20.253
736	6.732	16.288	0.598	20.545
737	6.645	16.236	0.646	19.009
738	6.544	16.412	0.633	19.419
739	6.503	16.415	0.611	20.097
740	6.544	16.615	0.608	20.209
741	6.612	16.546	0.606	20.279
742	6.704	16.651	0.599	20.524
743	6.700	16.483	0.596	20.602
744	6.674	16.522	0.597	20.590
745	6.520	16.442	0.597	20.587
746	6.503	16.433	0.636	19.322
747	6.423	16.567	0.609	20.161
748	6.392	16.611	0.600	20.467
749	6.338	16.594	0.601	20.450
750	6.318	16.557	0.599	20.520
751	6.310	16.615	0.664	18.509
752	6.278	16.639	0.630	19.509
753	6.279	16.631	0.608	20.196
754	6.281	16.577	0.600	20.492
755	6.376	16.501	0.597	20.571
756	6.389	16.426	0.598	20.540
757	6.457	16.370	0.660	18.607
758	6.370	16.291	0.628	19.560
759	6.349	16.439	0.612	20.093
760	6.364	16.515	0.598	20.549
761	6.457	16.597	0.595	20.664
762	6.471	16.639	0.603	20.390
763	6.487	16.686	0.600	20.468
764	6.431	16.667	0.672	18.286
765	6.413	16.787	0.641	19.173
766	6.290	16.707	0.611	20.108
767	6.180	16.750	0.601	20.457
768	6.203	16.750	0.596	20.612
769	6.126	16.834	0.645	19.037
770	6.036	16.956	0.626	19.630
771	5.998	17.024	0.607	20.234
772	5.982	17.234	0.601	20.454
773	5.961	17.268	0.596	20.615
774	5.959	17.358	0.595	20.662
775	6.103	17.399	0.596	20.631
776	6.266	17.441	0.630	19.513
777	6.504	17.086	0.607	20.244
778	6.557	16.990	0.599	20.508
779	6.567	16.924	0.596	20.629
780	6.456	16.807	0.596	20.626
781	6.330	16.684	0.595	20.666
782	6.269	16.791	0.594	20.699
783	6.256	16.932	0.595	20.636
784	6.245	16.812	0.596	20.602
785	6.278	16.743	0.598	20.560
786	6.348	16.515	0.598	20.544
787	6.254	16.496	0.601	20.443
788	6.240	16.551	0.656	18.742
789	6.270	16.524	0.633	19.409
790	6.262	16.368	0.604	20.342
791	6.247	16.431	0.597	20.575
792	6.287	16.483	0.598	20.555
793	6.339	16.443	0.608	20.197
794	6.329	16.467	0.609	20.172
795	6.267	16.656	0.600	20.494
796	6.267	16.803	0.657	18.711
797	6.589	16.973	0.644	19.070
798	6.845	16.727	0.615	19.965
799	6.870	16.637	0.607	20.256
800	6.765	16.626	0.606	20.264
801	6.679	16.474	0.601	20.436
802	6.660	16.640	0.599	20.525
803	6.581	16.623	0.623	19.711
804	6.509	16.690	0.610	20.157
805	6.378	16.657	0.609	20.161
806	6.417	16.967	0.600	20.474
807	6.430	16.953	0.646	19.029
808	6.436	16.981	0.631	19.473
809	6.441	16.888	0.612	20.089
810	6.489	16.891	0.600	20.480
811	6.439	16.927	0.599	20.525
812	6.452	17.099	0.623	19.719
813	6.408	17.014	0.607	20.260
814	6.379	17.024	0.603	20.385
815	6.277	16.981	0.598	20.564
816	6.160	16.975	0.597	20.595
817	6.040	16.833	0.598	20.564
818	5.983	16.921	0.646	19.012
819	5.943	16.929	0.619	19.846
