nbatch	trainL	validL	elapsed	throughput
397	14.346	19.147	0.600	20.469
398	14.346	19.141	0.645	19.060
399	14.385	19.220	0.628	19.561
400	14.481	19.233	0.610	20.152
401	14.534	19.338	0.601	20.430
402	14.739	19.472	0.601	20.448
403	14.822	19.504	0.620	19.813
404	14.971	19.486	0.617	19.926
405	14.849	19.439	0.607	20.247
406	14.729	19.299	0.599	20.500
407	14.725	19.247	0.642	19.150
408	14.626	19.216	0.627	19.602
409	14.570	19.129	0.612	20.085
410	14.634	19.283	0.604	20.330
411	14.429	19.216	0.603	20.394
412	14.417	19.189	0.600	20.493
413	14.257	19.131	0.610	20.158
414	14.209	19.115	0.603	20.377
415	14.321	19.081	0.598	20.558
416	14.143	19.029	0.617	19.931
417	14.119	18.958	0.609	20.166
418	14.169	18.993	0.642	19.139
419	13.989	19.007	0.617	19.910
420	13.876	18.919	0.613	20.055
421	13.801	18.848	0.604	20.339
422	13.625	18.856	0.655	18.750
423	13.692	18.954	0.641	19.156
424	13.828	18.919	0.621	19.790
425	13.810	18.837	0.610	20.145
426	13.815	18.826	0.605	20.306
427	13.683	18.723	0.603	20.381
428	13.598	18.694	0.607	20.240
429	13.469	18.719	0.604	20.343
430	13.505	18.750	0.600	20.476
431	13.581	18.766	0.600	20.493
432	13.517	18.880	0.654	18.779
433	13.778	19.009	0.628	19.552
434	14.012	19.294	0.611	20.126
435	14.270	19.226	0.604	20.349
436	14.128	19.174	0.599	20.531
437	13.964	19.061	0.601	20.431
438	13.753	18.984	0.599	20.521
439	13.692	18.885	0.652	18.850
440	13.618	19.037	0.636	19.328
441	13.708	18.915	0.621	19.784
442	13.695	18.948	0.604	20.331
443	13.748	18.970	0.600	20.489
444	13.632	18.879	0.603	20.376
445	13.704	18.735	0.599	20.506
446	13.581	18.774	0.633	19.408
447	13.633	18.723	0.619	19.853
448	13.599	18.693	0.610	20.151
449	13.696	18.813	0.600	20.474
450	13.758	18.945	0.598	20.538
451	13.839	19.123	0.598	20.550
452	13.735	19.141	0.599	20.528
453	13.625	19.004	0.630	19.507
454	13.380	19.126	0.611	20.095
455	13.363	19.131	0.606	20.285
456	13.371	19.296	0.603	20.363
457	13.509	19.169	0.657	18.712
458	13.559	19.111	0.624	19.685
459	13.538	19.105	0.606	20.274
460	13.458	19.037	0.600	20.463
461	13.303	18.948	0.599	20.501
462	13.122	18.867	0.615	19.964
463	12.996	18.826	0.604	20.328
464	13.015	18.790	0.600	20.483
465	12.951	18.854	0.598	20.551
466	12.898	19.016	0.597	20.576
467	12.968	18.969	0.598	20.547
468	12.922	18.900	0.597	20.590
469	12.947	18.865	0.597	20.578
470	12.902	18.818	0.599	20.503
471	12.936	18.880	0.600	20.467
472	12.893	18.797	0.604	20.359
473	12.805	18.735	0.609	20.193
474	12.836	18.726	0.606	20.275
475	12.801	18.752	0.644	19.080
476	12.816	18.874	0.625	19.655
477	12.821	18.914	0.608	20.196
478	12.871	18.887	0.600	20.474
479	12.915	19.030	0.603	20.362
480	12.780	18.891	0.627	19.598
481	12.605	18.780	0.618	19.894
482	12.571	18.752	0.616	19.942
483	12.585	18.756	0.610	20.139
484	12.528	18.707	0.603	20.362
485	12.472	18.776	0.601	20.447
486	12.350	18.828	0.637	19.303
487	12.273	18.953	0.630	19.490
488	12.371	19.015	0.614	20.028
489	12.492	18.985	0.602	20.414
490	12.624	18.866	0.602	20.396
491	12.764	18.758	0.604	20.353
492	12.726	18.758	0.599	20.515
493	12.570	18.683	0.656	18.731
494	12.549	18.665	0.632	19.437
495	12.425	18.667	0.608	20.215
496	12.266	18.521	0.614	20.017
497	12.156	18.619	0.609	20.185
498	12.166	18.750	0.605	20.308
499	12.222	18.608	0.604	20.347
500	12.099	18.659	0.601	20.435
501	12.172	18.727	0.650	18.903
502	12.181	18.704	0.624	19.685
503	12.235	18.614	0.613	20.037
504	12.234	18.719	0.602	20.424
505	12.153	18.673	0.601	20.433
506	12.198	18.728	0.602	20.426
507	12.383	18.928	0.608	20.197
508	12.465	18.977	0.609	20.174
509	12.429	18.914	0.602	20.406
510	12.441	18.844	0.656	18.743
511	12.438	18.816	0.646	19.015
512	12.392	18.856	0.624	19.702
513	12.433	18.930	0.607	20.252
514	12.449	18.990	0.601	20.435
515	12.351	18.989	0.601	20.456
516	12.317	18.896	0.601	20.443
517	12.385	19.169	0.603	20.386
518	12.372	19.135	0.598	20.557
519	12.337	18.992	0.647	18.980
520	12.142	19.009	0.633	19.405
521	11.967	18.965	0.613	20.032
522	11.890	19.069	0.603	20.390
523	11.990	19.084	0.604	20.332
524	12.035	19.114	0.602	20.414
525	12.079	19.043	0.598	20.551
526	12.045	19.021	0.651	18.866
527	12.035	18.950	0.632	19.449
528	12.101	19.045	0.609	20.166
529	12.086	18.992	0.603	20.366
530	12.018	18.933	0.601	20.429
531	11.887	18.941	0.603	20.394
532	11.893	19.068	0.602	20.400
533	11.924	19.151	0.600	20.492
534	11.910	19.104	0.657	18.695
535	11.796	19.047	0.653	18.809
536	11.646	18.974	0.624	19.683
537	11.481	18.956	0.605	20.297
538	11.597	18.990	0.602	20.425
539	11.566	18.929	0.600	20.480
540	11.683	18.994	0.601	20.435
541	11.751	19.012	0.603	20.386
542	11.803	18.926	0.602	20.421
543	11.794	18.981	0.652	18.859
544	11.772	19.015	0.634	19.397
545	11.717	18.957	0.614	20.002
546	11.580	18.953	0.604	20.347
547	11.552	19.012	0.601	20.443
548	11.442	18.949	0.598	20.538
549	11.363	19.097	0.605	20.300
550	11.473	19.187	0.610	20.150
551	11.706	19.203	0.602	20.422
552	11.597	19.083	0.656	18.720
553	11.539	19.013	0.641	19.176
554	11.389	19.015	0.618	19.884
555	11.405	19.066	0.605	20.327
556	11.290	19.057	0.601	20.435
557	11.307	19.014	0.599	20.518
558	11.246	18.906	0.603	20.366
559	11.234	18.881	0.624	19.702
560	11.205	18.865	0.608	20.201
561	11.229	18.965	0.608	20.209
562	11.234	18.990	0.604	20.343
563	11.227	18.941	0.599	20.511
564	11.331	19.008	0.650	18.893
565	11.265	18.997	0.631	19.479
566	11.305	18.948	0.609	20.172
567	11.243	18.978	0.604	20.330
568	11.398	19.187	0.600	20.484
